Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 26: Correspondence, 1947-1948: Scan 45",folder,03823_0026_0045.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1683,1213.jp2,Content/03823/image/1213.jp2,7787241 Bytes,7787241,bucket\03823_nccic\03823_0026\03823_0026_0045.tif,22746947 Bytes,22746947
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 36: Financial and legal materials, 1947: Scan 44",folder,03823_0036_0044.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1684,1411.jp2,Content/03823/image/1411.jp2,6769357 Bytes,6769357,bucket\03823_nccic\03823_0036\03823_0036_0044.tif,17310032 Bytes,17310032
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 35: Financial and legal materials, 1947: Scan 50",folder,03823_0035_0050.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1685,1574.jp2,Content/03823/image/1574.jp2,1096870 Bytes,1096870,bucket\03823_nccic\03823_0035\03823_0035_0050.tif,3355995 Bytes,3355995
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 29: Correspondence, 1949: Scan 31",folder,03823_0029_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1686,1472.jp2,Content/03823/image/1472.jp2,4718485 Bytes,4718485,bucket\03823_nccic\03823_0029\03823_0029_0031.tif,13316591 Bytes,13316591
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 31",folder,03823_0023_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1687,1811.jp2,Content/03823/image/1811.jp2,7380953 Bytes,7380953,bucket\03823_nccic\03823_0023\03823_0023_0031.tif,17761683 Bytes,17761683
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 38: Financial and legal materials, 1947: Scan 1",folder,03823_0038_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1688,1582.jp2,Content/03823/image/1582.jp2,4760942 Bytes,4760942,bucket\03823_nccic\03823_0038\03823_0038_0001.tif,13449269 Bytes,13449269
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 7",folder,03823_0028_0007.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1689,1487.jp2,Content/03823/image/1487.jp2,6677250 Bytes,6677250,bucket\03823_nccic\03823_0028\03823_0028_0007.tif,16203757 Bytes,16203757
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 39: Financial and legal materials, 1947: Scan 13",folder,03823_0039_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1690,1991.jp2,Content/03823/image/1991.jp2,1645953 Bytes,1645953,bucket\03823_nccic\03823_0039\03823_0039_0013.tif,4611348 Bytes,4611348
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 25: Correspondence, 1947-1948: Scan 19",folder,03823_0025_0019.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1691,1087.jp2,Content/03823/image/1087.jp2,7526025 Bytes,7526025,bucket\03823_nccic\03823_0025\03823_0025_0019.tif,17769715 Bytes,17769715
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 29: Correspondence, 1949: Scan 4",folder,03823_0029_0004.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1692,1727.jp2,Content/03823/image/1727.jp2,4509390 Bytes,4509390,bucket\03823_nccic\03823_0029\03823_0029_0004.tif,13025367 Bytes,13025367
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 27: Correspondence, 1949: Scan 24",folder,03823_0027_0024.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1693,1280.jp2,Content/03823/image/1280.jp2,4340514 Bytes,4340514,bucket\03823_nccic\03823_0027\03823_0027_0024.tif,12815063 Bytes,12815063
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 62",folder,03823_0028_0062.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1694,1886.jp2,Content/03823/image/1886.jp2,1255974 Bytes,1255974,bucket\03823_nccic\03823_0028\03823_0028_0062.tif,3593233 Bytes,3593233
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 32: Financial and legal materials, 1947: Scan 4",folder,03823_0032_0004.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1695,1501.jp2,Content/03823/image/1501.jp2,3807241 Bytes,3807241,bucket\03823_nccic\03823_0032\03823_0032_0004.tif,17966467 Bytes,17966467
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 52",folder,03823_0022_0052.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1696,1388.jp2,Content/03823/image/1388.jp2,8404527 Bytes,8404527,bucket\03823_nccic\03823_0022\03823_0022_0052.tif,18660086 Bytes,18660086
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 31: Financial and legal materials, 1946: Scan 59",folder,03823_0031_0059.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1697,1560.jp2,Content/03823/image/1560.jp2,8297358 Bytes,8297358,bucket\03823_nccic\03823_0031\03823_0031_0059.tif,23604470 Bytes,23604470
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 31: Financial and legal materials, 1946: Scan 42",folder,03823_0031_0042.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1698,1742.jp2,Content/03823/image/1742.jp2,6327917 Bytes,6327917,bucket\03823_nccic\03823_0031\03823_0031_0042.tif,21354835 Bytes,21354835
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 73",folder,03823_0022_0073.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1699,1792.jp2,Content/03823/image/1792.jp2,1179360 Bytes,1179360,bucket\03823_nccic\03823_0022\03823_0022_0073.tif,3389889 Bytes,3389889
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 33: Financial and legal materials, 1947: Scan 18",folder,03823_0033_0018.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1700,1254.jp2,Content/03823/image/1254.jp2,7918652 Bytes,7918652,bucket\03823_nccic\03823_0033\03823_0033_0018.tif,18666055 Bytes,18666055
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 24: Correspondence, 1947-1948: Scan 8",folder,03823_0024_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1701,1571.jp2,Content/03823/image/1571.jp2,6052289 Bytes,6052289,bucket\03823_nccic\03823_0024\03823_0024_0008.tif,16284559 Bytes,16284559
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 1",folder,03823_0023_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1702,1537.jp2,Content/03823/image/1537.jp2,5093822 Bytes,5093822,bucket\03823_nccic\03823_0023\03823_0023_0001.tif,13559249 Bytes,13559249
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 8",folder,03823_0028_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1703,1801.jp2,Content/03823/image/1801.jp2,4790077 Bytes,4790077,bucket\03823_nccic\03823_0028\03823_0028_0008.tif,13508603 Bytes,13508603
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 37: Financial and legal materials, 1947: Scan 23",folder,03823_0037_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1704,1132.jp2,Content/03823/image/1132.jp2,4752755 Bytes,4752755,bucket\03823_nccic\03823_0037\03823_0037_0023.tif,18431322 Bytes,18431322
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 36: Financial and legal materials, 1947: Scan 14",folder,03823_0036_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1705,1587.jp2,Content/03823/image/1587.jp2,6680615 Bytes,6680615,bucket\03823_nccic\03823_0036\03823_0036_0014.tif,16822022 Bytes,16822022
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 25: Correspondence, 1947-1948: Scan 52",folder,03823_0025_0052.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1706,1049.jp2,Content/03823/image/1049.jp2,8346588 Bytes,8346588,bucket\03823_nccic\03823_0025\03823_0025_0052.tif,18686710 Bytes,18686710
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 71",folder,03823_0022_0071.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1707,1227.jp2,Content/03823/image/1227.jp2,1763344 Bytes,1763344,bucket\03823_nccic\03823_0022\03823_0022_0071.tif,3994971 Bytes,3994971
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 34: Financial and legal materials, 1947: Scan 28",folder,03823_0034_0028.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1708,1088.jp2,Content/03823/image/1088.jp2,26707492 Bytes,26707492,bucket\03823_nccic\03823_0034\03823_0034_0028.tif,53792912 Bytes,53792912
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 30: Financial and legal materials, 1928-1945: Scan 8",folder,03823_0030_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1709,1387.jp2,Content/03823/image/1387.jp2,8695284 Bytes,8695284,bucket\03823_nccic\03823_0030\03823_0030_0008.tif,21426384 Bytes,21426384
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 25: Correspondence, 1947-1948: Scan 51",folder,03823_0025_0051.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1710,1176.jp2,Content/03823/image/1176.jp2,7502094 Bytes,7502094,bucket\03823_nccic\03823_0025\03823_0025_0051.tif,17828186 Bytes,17828186
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 27: Correspondence, 1949: Scan 23",folder,03823_0027_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1711,1937.jp2,Content/03823/image/1937.jp2,5297697 Bytes,5297697,bucket\03823_nccic\03823_0027\03823_0027_0023.tif,14069156 Bytes,14069156
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 34: Financial and legal materials, 1947: Scan 31",folder,03823_0034_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1712,1356.jp2,Content/03823/image/1356.jp2,26607644 Bytes,26607644,bucket\03823_nccic\03823_0034\03823_0034_0031.tif,53626600 Bytes,53626600
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 35: Financial and legal materials, 1947: Scan 35",folder,03823_0035_0035.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1713,1146.jp2,Content/03823/image/1146.jp2,6869626 Bytes,6869626,bucket\03823_nccic\03823_0035\03823_0035_0035.tif,17314752 Bytes,17314752
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 19",folder,03823_0023_0019.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1714,1298.jp2,Content/03823/image/1298.jp2,9352441 Bytes,9352441,bucket\03823_nccic\03823_0023\03823_0023_0019.tif,19664946 Bytes,19664946
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 14",folder,03823_0023_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1715,1019.jp2,Content/03823/image/1019.jp2,8608464 Bytes,8608464,bucket\03823_nccic\03823_0023\03823_0023_0014.tif,19108729 Bytes,19108729
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 24: Correspondence, 1947-1948: Scan 45",folder,03823_0024_0045.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1716,1492.jp2,Content/03823/image/1492.jp2,3552496 Bytes,3552496,bucket\03823_nccic\03823_0024\03823_0024_0045.tif,9049050 Bytes,9049050
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 29: Correspondence, 1949: Scan 35",folder,03823_0029_0035.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1717,1504.jp2,Content/03823/image/1504.jp2,3179448 Bytes,3179448,bucket\03823_nccic\03823_0029\03823_0029_0035.tif,8626764 Bytes,8626764
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 34: Financial and legal materials, 1947: Scan 13",folder,03823_0034_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1718,1477.jp2,Content/03823/image/1477.jp2,7533553 Bytes,7533553,bucket\03823_nccic\03823_0034\03823_0034_0013.tif,17990462 Bytes,17990462
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 27: Correspondence, 1949: Scan 28",folder,03823_0027_0028.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1719,1714.jp2,Content/03823/image/1714.jp2,804715 Bytes,804715,bucket\03823_nccic\03823_0027\03823_0027_0028.tif,2736766 Bytes,2736766
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 29: Correspondence, 1949: Scan 20",folder,03823_0029_0020.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1720,1467.jp2,Content/03823/image/1467.jp2,4216127 Bytes,4216127,bucket\03823_nccic\03823_0029\03823_0029_0020.tif,12683656 Bytes,12683656
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 37: Financial and legal materials, 1947: Scan 65",folder,03823_0037_0065.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1721,1911.jp2,Content/03823/image/1911.jp2,3464000 Bytes,3464000,bucket\03823_nccic\03823_0037\03823_0037_0065.tif,14695637 Bytes,14695637
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 60",folder,03823_0028_0060.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1722,1345.jp2,Content/03823/image/1345.jp2,1574594 Bytes,1574594,bucket\03823_nccic\03823_0028\03823_0028_0060.tif,4031684 Bytes,4031684
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 32: Financial and legal materials, 1947: Scan 5",folder,03823_0032_0005.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1723,1620.jp2,Content/03823/image/1620.jp2,3888211 Bytes,3888211,bucket\03823_nccic\03823_0032\03823_0032_0005.tif,18020718 Bytes,18020718
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 68",folder,03823_0028_0068.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1724,1698.jp2,Content/03823/image/1698.jp2,4819790 Bytes,4819790,bucket\03823_nccic\03823_0028\03823_0028_0068.tif,13549801 Bytes,13549801
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 39: Financial and legal materials, 1947: Scan 15",folder,03823_0039_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1725,1489.jp2,Content/03823/image/1489.jp2,4870828 Bytes,4870828,bucket\03823_nccic\03823_0039\03823_0039_0015.tif,13518256 Bytes,13518256
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 37: Financial and legal materials, 1947: Scan 26",folder,03823_0037_0026.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1726,1185.jp2,Content/03823/image/1185.jp2,5455160 Bytes,5455160,bucket\03823_nccic\03823_0037\03823_0037_0026.tif,19400169 Bytes,19400169
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 35: Financial and legal materials, 1947: Scan 66",folder,03823_0035_0066.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1727,1243.jp2,Content/03823/image/1243.jp2,1189067 Bytes,1189067,bucket\03823_nccic\03823_0035\03823_0035_0066.tif,3470863 Bytes,3470863
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 30: Financial and legal materials, 1928-1945: Scan 5",folder,03823_0030_0005.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1728,1458.jp2,Content/03823/image/1458.jp2,8455735 Bytes,8455735,bucket\03823_nccic\03823_0030\03823_0030_0005.tif,20711559 Bytes,20711559
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 31: Financial and legal materials, 1946: Scan 58",folder,03823_0031_0058.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1729,1328.jp2,Content/03823/image/1328.jp2,6756978 Bytes,6756978,bucket\03823_nccic\03823_0031\03823_0031_0058.tif,22022568 Bytes,22022568
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 24: Correspondence, 1947-1948: Scan 40",folder,03823_0024_0040.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1730,1732.jp2,Content/03823/image/1732.jp2,11998093 Bytes,11998093,bucket\03823_nccic\03823_0024\03823_0024_0040.tif,22556491 Bytes,22556491
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 34",folder,03823_0023_0034.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1731,1430.jp2,Content/03823/image/1430.jp2,9247256 Bytes,9247256,bucket\03823_nccic\03823_0023\03823_0023_0034.tif,19735783 Bytes,19735783
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 31: Financial and legal materials, 1946: Scan 2",folder,03823_0031_0002.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1732,1670.jp2,Content/03823/image/1670.jp2,10833098 Bytes,10833098,bucket\03823_nccic\03823_0031\03823_0031_0002.tif,25803746 Bytes,25803746
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 32: Financial and legal materials, 1947: Scan 36",folder,03823_0032_0036.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1733,1381.jp2,Content/03823/image/1381.jp2,601534 Bytes,601534,bucket\03823_nccic\03823_0032\03823_0032_0036.tif,1948038 Bytes,1948038
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 11",folder,03823_0023_0011.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1734,1397.jp2,Content/03823/image/1397.jp2,7110899 Bytes,7110899,bucket\03823_nccic\03823_0023\03823_0023_0011.tif,17689315 Bytes,17689315
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 39: Financial and legal materials, 1947: Scan 2",folder,03823_0039_0002.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1735,1905.jp2,Content/03823/image/1905.jp2,4492971 Bytes,4492971,bucket\03823_nccic\03823_0039\03823_0039_0002.tif,13031533 Bytes,13031533
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 23: Correspondence, 1947-1948: Scan 22",folder,03823_0023_0022.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1736,1812.jp2,Content/03823/image/1812.jp2,9079202 Bytes,9079202,bucket\03823_nccic\03823_0023\03823_0023_0022.tif,19493800 Bytes,19493800
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 24: Correspondence, 1947-1948: Scan 20",folder,03823_0024_0020.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1737,1355.jp2,Content/03823/image/1355.jp2,6770948 Bytes,6770948,bucket\03823_nccic\03823_0024\03823_0024_0020.tif,17031023 Bytes,17031023
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 28: Correspondence, 1949: Scan 44",folder,03823_0028_0044.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1738,1255.jp2,Content/03823/image/1255.jp2,4967413 Bytes,4967413,bucket\03823_nccic\03823_0028\03823_0028_0044.tif,13707197 Bytes,13707197
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 37: Financial and legal materials, 1947: Scan 39",folder,03823_0037_0039.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1739,1543.jp2,Content/03823/image/1543.jp2,6333908 Bytes,6333908,bucket\03823_nccic\03823_0037\03823_0037_0039.tif,20446304 Bytes,20446304
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 25: Correspondence, 1947-1948: Scan 37",folder,03823_0025_0037.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1740,1904.jp2,Content/03823/image/1904.jp2,15586530 Bytes,15586530,bucket\03823_nccic\03823_0025\03823_0025_0037.tif,25478761 Bytes,25478761
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 27: Correspondence, 1949: Scan 17",folder,03823_0027_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1741,1374.jp2,Content/03823/image/1374.jp2,5596761 Bytes,5596761,bucket\03823_nccic\03823_0027\03823_0027_0017.tif,14493947 Bytes,14493947
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 31: Financial and legal materials, 1946: Scan 73",folder,03823_0031_0073.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1742,1216.jp2,Content/03823/image/1216.jp2,7959969 Bytes,7959969,bucket\03823_nccic\03823_0031\03823_0031_0073.tif,22940344 Bytes,22940344
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 39: Financial and legal materials, 1947: Scan 14",folder,03823_0039_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1743,1719.jp2,Content/03823/image/1719.jp2,4456317 Bytes,4456317,bucket\03823_nccic\03823_0039\03823_0039_0014.tif,13034870 Bytes,13034870
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 32: Financial and legal materials, 1947: Scan 19",folder,03823_0032_0019.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1744,1738.jp2,Content/03823/image/1738.jp2,3817798 Bytes,3817798,bucket\03823_nccic\03823_0032\03823_0032_0019.tif,17995790 Bytes,17995790
