Collection in Repository,Collection Number,Location in Collection,Object,Container Type,filename,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 34",folder,03823_0022_0034.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,259,545.jp2,Content/03823/image/545.jp2,10532534 Bytes,10532534
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 20",folder,03823_0002_0020.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,260,764.jp2,Content/03823/image/764.jp2,4852168 Bytes,4852168
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 19: Correspondence, 1947-1948: Scan 2",folder,03823_0019_0002.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,261,765.jp2,Content/03823/image/765.jp2,8450064 Bytes,8450064
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 11: Correspondence, 1944-May 1946: Scan 38",folder,03823_0011_0038.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,262,972.jp2,Content/03823/image/972.jp2,4340282 Bytes,4340282
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 6: Correspondence, 1941: Scan 6",folder,03823_0006_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,263,849.jp2,Content/03823/image/849.jp2,5048667 Bytes,5048667
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 62",folder,03823_0007_0062.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,264,395.jp2,Content/03823/image/395.jp2,4588833 Bytes,4588833
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 15: Correspondence, August-December 1946: Scan 5",folder,03823_0015_0005.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,265,467.jp2,Content/03823/image/467.jp2,4930841 Bytes,4930841
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 26",folder,03823_0003_0026.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,266,47.jp2,Content/03823/image/47.jp2,4948829 Bytes,4948829
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 15: Correspondence, August-December 1946: Scan 3",folder,03823_0015_0003.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,267,593.jp2,Content/03823/image/593.jp2,3559566 Bytes,3559566
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 11: Correspondence, 1944-May 1946: Scan 20",folder,03823_0011_0020.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,268,937.jp2,Content/03823/image/937.jp2,988701 Bytes,988701
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 33",folder,03823_0009_0033.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,269,968.jp2,Content/03823/image/968.jp2,4297714 Bytes,4297714
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 32",folder,03823_0010_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,270,416.jp2,Content/03823/image/416.jp2,6310995 Bytes,6310995
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 70",folder,03823_0010_0070.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,271,633.jp2,Content/03823/image/633.jp2,5102374 Bytes,5102374
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 19",folder,03823_0005_0019.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,272,654.jp2,Content/03823/image/654.jp2,4835735 Bytes,4835735
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 8",folder,03823_0018_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,273,235.jp2,Content/03823/image/235.jp2,4610532 Bytes,4610532
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 12: Correspondence, 1944-May 1946: Scan 27",folder,03823_0012_0027.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,274,946.jp2,Content/03823/image/946.jp2,4674420 Bytes,4674420
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 1: Correspondence, 1922-1929: Scan 29",folder,03823_0001_0029.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,275,91.jp2,Content/03823/image/91.jp2,4428370 Bytes,4428370
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 11",folder,03823_0020_0011.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,276,525.jp2,Content/03823/image/525.jp2,6751962 Bytes,6751962
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 6",folder,03823_0021_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,277,312.jp2,Content/03823/image/312.jp2,7991736 Bytes,7991736
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 29",folder,03823_0004_0029.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,278,710.jp2,Content/03823/image/710.jp2,5432213 Bytes,5432213
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 25",folder,03823_0003_0025.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,279,246.jp2,Content/03823/image/246.jp2,4617202 Bytes,4617202
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 31",folder,03823_0021_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,280,877.jp2,Content/03823/image/877.jp2,7049683 Bytes,7049683
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 6",folder,03823_0005_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,281,780.jp2,Content/03823/image/780.jp2,5675131 Bytes,5675131
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 7",folder,03823_0002_0007.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,282,724.jp2,Content/03823/image/724.jp2,4415015 Bytes,4415015
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 66",folder,03823_0010_0066.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,283,674.jp2,Content/03823/image/674.jp2,5457342 Bytes,5457342
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 39",folder,03823_0002_0039.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,284,632.jp2,Content/03823/image/632.jp2,4007797 Bytes,4007797
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 18",folder,03823_0002_0018.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,285,370.jp2,Content/03823/image/370.jp2,5771524 Bytes,5771524
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 11: Correspondence, 1944-May 1946: Scan 36",folder,03823_0011_0036.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,286,262.jp2,Content/03823/image/262.jp2,2352114 Bytes,2352114
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 31",folder,03823_0010_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,287,2.jp2,Content/03823/image/2.jp2,5707680 Bytes,5707680
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 56",folder,03823_0007_0056.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,288,171.jp2,Content/03823/image/171.jp2,5491682 Bytes,5491682
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 39",folder,03823_0018_0039.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,289,381.jp2,Content/03823/image/381.jp2,4201160 Bytes,4201160
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 2",folder,03823_0002_0002.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,290,352.jp2,Content/03823/image/352.jp2,4579003 Bytes,4579003
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 13: Correspondence, August-December 1946: Scan 15",folder,03823_0013_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,291,188.jp2,Content/03823/image/188.jp2,4775693 Bytes,4775693
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 48",folder,03823_0009_0048.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,292,406.jp2,Content/03823/image/406.jp2,5552186 Bytes,5552186
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 48",folder,03823_0004_0048.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,293,50.jp2,Content/03823/image/50.jp2,5228841 Bytes,5228841
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 45",folder,03823_0004_0045.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,294,182.jp2,Content/03823/image/182.jp2,1915301 Bytes,1915301
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 35",folder,03823_0021_0035.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,295,183.jp2,Content/03823/image/183.jp2,7323319 Bytes,7323319
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 43",folder,03823_0005_0043.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,296,23.jp2,Content/03823/image/23.jp2,3453785 Bytes,3453785
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 42",folder,03823_0009_0042.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,297,860.jp2,Content/03823/image/860.jp2,5110810 Bytes,5110810
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 34",folder,03823_0002_0034.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,298,203.jp2,Content/03823/image/203.jp2,5326619 Bytes,5326619
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 22",folder,03823_0010_0022.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,299,218.jp2,Content/03823/image/218.jp2,6462462 Bytes,6462462
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 46",folder,03823_0021_0046.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,300,829.jp2,Content/03823/image/829.jp2,7893040 Bytes,7893040
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 32",folder,03823_0022_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,301,858.jp2,Content/03823/image/858.jp2,7166751 Bytes,7166751
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 22",folder,03823_0003_0022.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,302,701.jp2,Content/03823/image/701.jp2,4821177 Bytes,4821177
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 8",folder,03823_0005_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,303,256.jp2,Content/03823/image/256.jp2,4322315 Bytes,4322315
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 7",folder,03823_0007_0007.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,304,136.jp2,Content/03823/image/136.jp2,5146143 Bytes,5146143
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 21",folder,03823_0005_0021.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,305,848.jp2,Content/03823/image/848.jp2,4280897 Bytes,4280897
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 15",folder,03823_0003_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,306,113.jp2,Content/03823/image/113.jp2,5091711 Bytes,5091711
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 31",folder,03823_0009_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,307,901.jp2,Content/03823/image/901.jp2,4853392 Bytes,4853392
