Collection in Repository,Collection Number,Location in Collection,Object,Container Type,filename,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 9",folder,03823_0020_0009.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,0,231.jp2,Content/03823/image/231.jp2,8524803 Bytes,8524803
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 17",folder,03823_0021_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1,430.jp2,Content/03823/image/430.jp2,10099338 Bytes,10099338
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 1",folder,03823_0009_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2,909.jp2,Content/03823/image/909.jp2,5920711 Bytes,5920711
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 16",folder,03823_0017_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,3,59.jp2,Content/03823/image/59.jp2,5291542 Bytes,5291542
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 12: Correspondence, 1944-May 1946: Scan 44",folder,03823_0012_0044.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,4,152.jp2,Content/03823/image/152.jp2,1746399 Bytes,1746399
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 16: Correspondence, 1947-1948: Scan 15",folder,03823_0016_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,5,360.jp2,Content/03823/image/360.jp2,7633196 Bytes,7633196
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 15",folder,03823_0009_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,6,503.jp2,Content/03823/image/503.jp2,4772963 Bytes,4772963
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 19: Correspondence, 1947-1948: Scan 12",folder,03823_0019_0012.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,7,222.jp2,Content/03823/image/222.jp2,10301523 Bytes,10301523
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 13: Correspondence, August-December 1946: Scan 6",folder,03823_0013_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,8,408.jp2,Content/03823/image/408.jp2,4544632 Bytes,4544632
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 34",folder,03823_0007_0034.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,9,411.jp2,Content/03823/image/411.jp2,5646702 Bytes,5646702
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 32",folder,03823_0007_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,10,543.jp2,Content/03823/image/543.jp2,6539003 Bytes,6539003
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 37",folder,03823_0018_0037.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,11,49.jp2,Content/03823/image/49.jp2,4533313 Bytes,4533313
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 40",folder,03823_0018_0040.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,12,106.jp2,Content/03823/image/106.jp2,4073478 Bytes,4073478
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 5",folder,03823_0005_0005.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,13,443.jp2,Content/03823/image/443.jp2,4936998 Bytes,4936998
