Collection in Repository	Collection Number	Location in Collection	Object	Container Type	filename	Title	Alternative Title	Creator	Contributor	Creation Date	Date	Description	Subject (tgm)	Subject - Name	Subject - Topical	Subject - Geographic	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Repository	Host	Usage Rights	Copyright Holder	Additional Display	Transcription	Caption	Notes	Title Note	Contributor Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	path	Local Identifier	Creator Identifier	Date created	Date modified	Object number	Object file name
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 34	folder	03823_0018_0034.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	342	547.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 17	folder	03823_0011_0017.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	343	377.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 15	folder	03823_0006_0015.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	344	557.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 72	folder	03823_0010_0072.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	345	456.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 23	folder	03823_0001_0023.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	346	83.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 2: Correspondence, 1931-1937: Scan 33	folder	03823_0002_0033.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	347	500.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 22	folder	03823_0011_0022.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	348	397.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 55	folder	03823_0010_0055.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	349	441.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 3	folder	03823_0001_0003.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	350	964.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 41	folder	03823_0007_0041.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	351	665.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 11	folder	03823_0005_0011.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	352	717.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 22	folder	03823_0006_0022.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	353	989.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 7	folder	03823_0001_0007.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	354	752.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 3: Correspondence, 1938-1939: Scan 31	folder	03823_0003_0031.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	355	439.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 12	folder	03823_0006_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	356	966.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 4	folder	03823_0020_0004.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	357	67.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 8	folder	03823_0007_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	358	519.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 66	folder	03823_0016_0066.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	359	478.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 45	folder	03823_0009_0045.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	360	250.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 49	folder	03823_0009_0049.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	361	398.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 8	folder	03823_0011_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	362	332.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 3: Correspondence, 1938-1939: Scan 19	folder	03823_0003_0019.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	363	259.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 30	folder	03823_0018_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	364	791.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 56	folder	03823_0010_0056.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	365	257.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 14	folder	03823_0006_0014.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	366	705.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 14: Correspondence, August-December 1946: Scan 5	folder	03823_0014_0005.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	367	308.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 26	folder	03823_0017_0026.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	368	882.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 15: Correspondence, August-December 1946: Scan 6	folder	03823_0015_0006.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	369	739.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 2	folder	03823_0016_0002.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	370	508.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 54	folder	03823_0009_0054.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	371	939.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 54	folder	03823_0007_0054.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	372	513.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 8: Correspondence, 1942: Scan 12	folder	03823_0008_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	373	283.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 40	folder	03823_0005_0040.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	374	597.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 27	folder	03823_0019_0027.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	375	638.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 32	folder	03823_0016_0032.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	376	327.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 51	folder	03823_0010_0051.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	377	569.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 15	folder	03823_0010_0015.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	378	479.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 30	folder	03823_0001_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	379	565.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 41	folder	03823_0010_0041.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	380	865.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 37	folder	03823_0016_0037.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	381	916.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 46	folder	03823_0009_0046.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	382	623.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 12: Correspondence, 1944-May 1946: Scan 19	folder	03823_0012_0019.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	383	541.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 5	folder	03823_0020_0005.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	384	72.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 12	folder	03823_0011_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	385	168.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 10	folder	03823_0021_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	386	730.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 28	folder	03823_0018_0028.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	387	715.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 31	folder	03823_0016_0031.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	388	320.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 22: Correspondence, 1947-1948: Scan 28	folder	03823_0022_0028.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	389	140.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 34	folder	03823_0017_0034.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	390	431.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 14: Correspondence, August-December 1946: Scan 26	folder	03823_0014_0026.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	391	219.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 13: Correspondence, August-December 1946: Scan 11	folder	03823_0013_0011.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	392	843.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 22: Correspondence, 1947-1948: Scan 22	folder	03823_0022_0022.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	393	57.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 8	folder	03823_0021_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	394	979.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 36	folder	03823_0019_0036.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	395	963.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 24	folder	03823_0005_0024.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	396	531.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 12: Correspondence, 1944-May 1946: Scan 12	folder	03823_0012_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	397	702.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 5	folder	03823_0017_0005.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	398	811.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 8: Correspondence, 1942: Scan 3	folder	03823_0008_0003.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	399	773.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 3	folder	03823_0007_0003.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	400	367.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 30	folder	03823_0007_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	401	533.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 41	folder	03823_0006_0041.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	402	362.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 42	folder	03823_0010_0042.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	403	177.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 19	folder	03823_0019_0019.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	404	502.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 15: Correspondence, August-December 1946: Scan 19	folder	03823_0015_0019.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	405	824.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 63	folder	03823_0007_0063.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	406	781.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 11	folder	03823_0009_0011.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	407	516.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 12	folder	03823_0017_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	408	735.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 10	folder	03823_0006_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	409	89.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 51	folder	03823_0016_0051.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	410	576.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 13: Correspondence, August-December 1946: Scan 12	folder	03823_0013_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	411	147.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 40	folder	03823_0009_0040.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	412	453.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 3	folder	03823_0021_0003.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	413	298.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 2: Correspondence, 1931-1937: Scan 13	folder	03823_0002_0013.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	414	90.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 12: Correspondence, 1944-May 1946: Scan 5	folder	03823_0012_0005.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	415	994.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 8	folder	03823_0010_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	416	784.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 23	folder	03823_0018_0023.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	417	954.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 3: Correspondence, 1938-1939: Scan 38	folder	03823_0003_0038.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	418	302.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 9	folder	03823_0009_0009.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	419	427.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 33	folder	03823_0001_0033.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	420	154.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 3: Correspondence, 1938-1939: Scan 43	folder	03823_0003_0043.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	421	625.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 6	folder	03823_0009_0006.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	422	45.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 8	folder	03823_0006_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	423	475.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 16	folder	03823_0011_0016.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	424	470.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 36	folder	03823_0018_0036.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	425	799.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 12	folder	03823_0007_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	426	21.jp2
