Name,Full Path,Size,Files,Dir Level (Relative),Extension
03823_0072_0052.tif,bucket\03823_nccic\03823_0072\03823_0072_0052.tif,9522867 Bytes,1,2,.tif
03823_0072_0053.tif,bucket\03823_nccic\03823_0072\03823_0072_0053.tif,9434985 Bytes,1,2,.tif
03823_0072_0054.tif,bucket\03823_nccic\03823_0072\03823_0072_0054.tif,9619229 Bytes,1,2,.tif
03823_0072_0055.tif,bucket\03823_nccic\03823_0072\03823_0072_0055.tif,11808816 Bytes,1,2,.tif
03823_0072_0056.tif,bucket\03823_nccic\03823_0072\03823_0072_0056.tif,9811710 Bytes,1,2,.tif
03823_0072_0057.tif,bucket\03823_nccic\03823_0072\03823_0072_0057.tif,9549302 Bytes,1,2,.tif
03823_0072_0058.tif,bucket\03823_nccic\03823_0072\03823_0072_0058.tif,9769179 Bytes,1,2,.tif
03823_0072_0059.tif,bucket\03823_nccic\03823_0072\03823_0072_0059.tif,8740527 Bytes,1,2,.tif
03823_0072_0060.tif,bucket\03823_nccic\03823_0072\03823_0072_0060.tif,10888541 Bytes,1,2,.tif
03823_0072_0061.tif,bucket\03823_nccic\03823_0072\03823_0072_0061.tif,10034581 Bytes,1,2,.tif
03823_0072_0062.tif,bucket\03823_nccic\03823_0072\03823_0072_0062.tif,14257082 Bytes,1,2,.tif
03823_0072_0063.tif,bucket\03823_nccic\03823_0072\03823_0072_0063.tif,11662052 Bytes,1,2,.tif
03823_0072_0064.tif,bucket\03823_nccic\03823_0072\03823_0072_0064.tif,11605042 Bytes,1,2,.tif
03823_0072_0065.tif,bucket\03823_nccic\03823_0072\03823_0072_0065.tif,11692437 Bytes,1,2,.tif
03823_0072_0066.tif,bucket\03823_nccic\03823_0072\03823_0072_0066.tif,11386743 Bytes,1,2,.tif
03823_0072_0067.tif,bucket\03823_nccic\03823_0072\03823_0072_0067.tif,12003832 Bytes,1,2,.tif
03823_0072_0068.tif,bucket\03823_nccic\03823_0072\03823_0072_0068.tif,11879415 Bytes,1,2,.tif
03823_0072_0069.tif,bucket\03823_nccic\03823_0072\03823_0072_0069.tif,12205295 Bytes,1,2,.tif
03823_0072_0070.tif,bucket\03823_nccic\03823_0072\03823_0072_0070.tif,9945172 Bytes,1,2,.tif
03823_0072_0071.tif,bucket\03823_nccic\03823_0072\03823_0072_0071.tif,10162262 Bytes,1,2,.tif
03823_0072_0072.tif,bucket\03823_nccic\03823_0072\03823_0072_0072.tif,9659603 Bytes,1,2,.tif
03823_0072_0073.tif,bucket\03823_nccic\03823_0072\03823_0072_0073.tif,10390643 Bytes,1,2,.tif
03823_0072_0074.tif,bucket\03823_nccic\03823_0072\03823_0072_0074.tif,11982856 Bytes,1,2,.tif
03823_0072_0075.tif,bucket\03823_nccic\03823_0072\03823_0072_0075.tif,12433208 Bytes,1,2,.tif
03823_0072_0076.tif,bucket\03823_nccic\03823_0072\03823_0072_0076.tif,12258840 Bytes,1,2,.tif
03823_0072_0077.tif,bucket\03823_nccic\03823_0072\03823_0072_0077.tif,11840409 Bytes,1,2,.tif
03823_0072_0078.tif,bucket\03823_nccic\03823_0072\03823_0072_0078.tif,12115908 Bytes,1,2,.tif
03823_0072_0079.tif,bucket\03823_nccic\03823_0072\03823_0072_0079.tif,12288128 Bytes,1,2,.tif
03823_0072_0080.tif,bucket\03823_nccic\03823_0072\03823_0072_0080.tif,12041178 Bytes,1,2,.tif
03823_0072_0081.tif,bucket\03823_nccic\03823_0072\03823_0072_0081.tif,12156606 Bytes,1,2,.tif
03823_0072_0082.tif,bucket\03823_nccic\03823_0072\03823_0072_0082.tif,12410241 Bytes,1,2,.tif
03823_0072_0083.tif,bucket\03823_nccic\03823_0072\03823_0072_0083.tif,12327241 Bytes,1,2,.tif
03823_0072_0084.tif,bucket\03823_nccic\03823_0072\03823_0072_0084.tif,12021546 Bytes,1,2,.tif
03823_0072_0085.tif,bucket\03823_nccic\03823_0072\03823_0072_0085.tif,11957023 Bytes,1,2,.tif
03823_0072_0086.tif,bucket\03823_nccic\03823_0072\03823_0072_0086.tif,12053691 Bytes,1,2,.tif
03823_0072_0087.tif,bucket\03823_nccic\03823_0072\03823_0072_0087.tif,11369772 Bytes,1,2,.tif
03823_0072_0088.tif,bucket\03823_nccic\03823_0072\03823_0072_0088.tif,12335828 Bytes,1,2,.tif
03823_0072_0089.tif,bucket\03823_nccic\03823_0072\03823_0072_0089.tif,29467091 Bytes,1,2,.tif
03823_0072_0090.tif,bucket\03823_nccic\03823_0072\03823_0072_0090.tif,22224838 Bytes,1,2,.tif
03823_0072_0091.tif,bucket\03823_nccic\03823_0072\03823_0072_0091.tif,8569307 Bytes,1,2,.tif
03823_0072_0092.tif,bucket\03823_nccic\03823_0072\03823_0072_0092.tif,25843172 Bytes,1,2,.tif
03823_0072_0093.tif,bucket\03823_nccic\03823_0072\03823_0072_0093.tif,7179825 Bytes,1,2,.tif
03823_0072_0094.tif,bucket\03823_nccic\03823_0072\03823_0072_0094.tif,10460400 Bytes,1,2,.tif
03823_0072_0095.tif,bucket\03823_nccic\03823_0072\03823_0072_0095.tif,9712608 Bytes,1,2,.tif
03823_0072_0096.tif,bucket\03823_nccic\03823_0072\03823_0072_0096.tif,9807461 Bytes,1,2,.tif
03823_0072_0097.tif,bucket\03823_nccic\03823_0072\03823_0072_0097.tif,10041911 Bytes,1,2,.tif
03823_0072_0098.tif,bucket\03823_nccic\03823_0072\03823_0072_0098.tif,10834330 Bytes,1,2,.tif
03823_0072_0099.tif,bucket\03823_nccic\03823_0072\03823_0072_0099.tif,11254932 Bytes,1,2,.tif
