Collection in Repository	Collection Number	Location in Collection	Object	Container Type	filename	Title	Alternative Title	Creator	Contributor	Creation Date	Date	Description	Subject (tgm)	Subject Name	Subject Topical	Subject Geographic	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Repository	Host	Usage Rights	Copyright Holder	Additional Display	Transcription	Caption	Notes	Title Note	Contributor Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	path	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	duracloudSpace	OCLC number	Date created	Date modified
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 235	folder	03883_0008_0235.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 4: 1947-1949: Scan 10	folder	03883_0004_0010.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 154	folder	03883_0008_0154.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 2: 1940-1945: Scan 40	folder	03883_0002_0040.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 143	folder	03883_0008_0143.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 115	folder	03883_0008_0115.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 2: 1940-1945: Scan 113	folder	03883_0002_0113.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 3: 1946: Scan 23	folder	03883_0003_0023.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 210	folder	03883_0008_0210.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 189	folder	03883_0008_0189.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
